MODELED RE-ENTRY TELEMETRY - Orion Lunar-Return Skip Entry (Second-by-Second)
Entry Interface (EI) -> Splashdown
================================================================================

    MET  Vel(mph)    Alt(ft)  Alt(mi)      g  Phase
----------------------------------------------------------------------------------------------------
   0:00    24,592    400,000     75.8         Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:01    24,612    398,333     75.4   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:02    24,632    396,667     75.1   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:03    24,652    395,000     74.8   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:04    24,672    393,333     74.5   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:05    24,692    391,667     74.2   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:06    24,712    390,000     73.9   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:07    24,732    388,333     73.5   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:08    24,751    386,667     73.2   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:09    24,771    385,000     72.9   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:10    24,791    383,333     72.6   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:11    24,811    381,667     72.3   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:12    24,831    380,000     72.0   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:13    24,851    378,333     71.7   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:14    24,871    376,667     71.3   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:15    24,891    375,000     71.0   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:16    24,911    373,333     70.7   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:17    24,931    371,667     70.4   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:18    24,951    370,000     70.1   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:19    24,971    368,333     69.8   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:20    24,991    366,667     69.4   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:21    25,011    365,000     69.1   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:22    25,031    363,333     68.8   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:23    25,050    361,667     68.5   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:24    25,070    360,000     68.2   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:25    25,090    358,333     67.9   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:26    25,110    356,667     67.6   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:27    25,130    355,000     67.2   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:28    25,150    353,333     66.9   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:29    25,170    351,667     66.6   0.91  Entry Interface (EI) - 400,000 ft, atmosphere begins
   0:30    25,190    350,000     66.3   0.91  Initial descent - still accelerating slightly under gravity
   0:31    25,166    348,111     65.9    1.1  Initial descent - still accelerating slightly under gravity
   0:32    25,142    346,222     65.6    1.1  Initial descent - still accelerating slightly under gravity
   0:33    25,117    344,333     65.2    1.1  Initial descent - still accelerating slightly under gravity
   0:34    25,093    342,444     64.9    1.1  Initial descent - still accelerating slightly under gravity
   0:35    25,069    340,556     64.5    1.1  Initial descent - still accelerating slightly under gravity
   0:36    25,045    338,667     64.1    1.1  Initial descent - still accelerating slightly under gravity
   0:37    25,020    336,778     63.8    1.1  Initial descent - still accelerating slightly under gravity
   0:38    24,996    334,889     63.4    1.1  Initial descent - still accelerating slightly under gravity
   0:39    24,972    333,000     63.1    1.1  Initial descent - still accelerating slightly under gravity
   0:40    24,948    331,111     62.7    1.1  Initial descent - still accelerating slightly under gravity
   0:41    24,924    329,222     62.4    1.1  Initial descent - still accelerating slightly under gravity
   0:42    24,899    327,333     62.0    1.1  Initial descent - still accelerating slightly under gravity
   0:43    24,875    325,444     61.6    1.1  Initial descent - still accelerating slightly under gravity
   0:44    24,851    323,556     61.3    1.1  Initial descent - still accelerating slightly under gravity
   0:45    24,827    321,667     60.9    1.1  Initial descent - still accelerating slightly under gravity
   0:46    24,802    319,778     60.6    1.1  Initial descent - still accelerating slightly under gravity
   0:47    24,778    317,889     60.2    1.1  Initial descent - still accelerating slightly under gravity
   0:48    24,754    316,000     59.8    1.1  Initial descent - still accelerating slightly under gravity
   0:49    24,730    314,111     59.5    1.1  Initial descent - still accelerating slightly under gravity
   0:50    24,706    312,222     59.1    1.1  Initial descent - still accelerating slightly under gravity
   0:51    24,681    310,333     58.8    1.1  Initial descent - still accelerating slightly under gravity
   0:52    24,657    308,444     58.4    1.1  Initial descent - still accelerating slightly under gravity
   0:53    24,633    306,556     58.1    1.1  Initial descent - still accelerating slightly under gravity
   0:54    24,609    304,667     57.7    1.1  Initial descent - still accelerating slightly under gravity
   0:55    24,584    302,778     57.3    1.1  Initial descent - still accelerating slightly under gravity
   0:56    24,560    300,889     57.0    1.1  Initial descent - still accelerating slightly under gravity
   0:57    24,536    299,000     56.6    1.1  Initial descent - still accelerating slightly under gravity
   0:58    24,512    297,111     56.3    1.1  Initial descent - still accelerating slightly under gravity
   0:59    24,488    295,222     55.9    1.1  Initial descent - still accelerating slightly under gravity
   1:00    24,463    293,333     55.6    1.1  Initial descent - still accelerating slightly under gravity
   1:01    24,439    291,444     55.2    1.1  Initial descent - still accelerating slightly under gravity
   1:02    24,415    289,556     54.8    1.1  Initial descent - still accelerating slightly under gravity
   1:03    24,391    287,667     54.5    1.1  Initial descent - still accelerating slightly under gravity
   1:04    24,366    285,778     54.1    1.1  Initial descent - still accelerating slightly under gravity
   1:05    24,342    283,889     53.8    1.1  Initial descent - still accelerating slightly under gravity
   1:06    24,318    282,000     53.4    1.1  Initial descent - still accelerating slightly under gravity
   1:07    24,294    280,111     53.1    1.1  Initial descent - still accelerating slightly under gravity
   1:08    24,270    278,222     52.7    1.1  Initial descent - still accelerating slightly under gravity
   1:09    24,245    276,333     52.3    1.1  Initial descent - still accelerating slightly under gravity
   1:10    24,221    274,444     52.0    1.1  Initial descent - still accelerating slightly under gravity
   1:11    24,197    272,556     51.6    1.1  Initial descent - still accelerating slightly under gravity
   1:12    24,173    270,667     51.3    1.1  Initial descent - still accelerating slightly under gravity
   1:13    24,148    268,778     50.9    1.1  Initial descent - still accelerating slightly under gravity
   1:14    24,124    266,889     50.5    1.1  Initial descent - still accelerating slightly under gravity
   1:15    24,100    265,000     50.2    1.1  Atmospheric drag building
   1:16    23,969    263,714     49.9   5.99  Atmospheric drag building
   1:17    23,837    262,429     49.7   5.99  Atmospheric drag building
   1:18    23,706    261,143     49.5   5.99  Atmospheric drag building
   1:19    23,574    259,857     49.2   5.99  Atmospheric drag building
   1:20    23,443    258,571     49.0   5.99  Atmospheric drag building
   1:21    23,311    257,286     48.7   5.99  Atmospheric drag building
   1:22    23,180    256,000     48.5   5.99  Atmospheric drag building
   1:23    23,049    254,714     48.2   5.99  Atmospheric drag building
   1:24    22,917    253,429     48.0   5.99  Atmospheric drag building
   1:25    22,786    252,143     47.8   5.99  Atmospheric drag building
   1:26    22,654    250,857     47.5   5.99  Atmospheric drag building
   1:27    22,523    249,571     47.3   5.99  Atmospheric drag building
   1:28    22,391    248,286     47.0   5.99  Atmospheric drag building
   1:29    22,260    247,000     46.8   5.99  Atmospheric drag building
   1:30    22,129    245,714     46.5   5.99  Atmospheric drag building
   1:31    21,997    244,429     46.3   5.99  Atmospheric drag building
   1:32    21,866    243,143     46.0   5.99  Atmospheric drag building
   1:33    21,734    241,857     45.8   5.99  Atmospheric drag building
   1:34    21,603    240,571     45.6   5.99  Atmospheric drag building
   1:35    21,471    239,286     45.3   5.99  Atmospheric drag building
   1:36    21,340    238,000     45.1   5.99  Atmospheric drag building
   1:37    21,209    236,714     44.8   5.99  Atmospheric drag building
   1:38    21,077    235,429     44.6   5.99  Atmospheric drag building
   1:39    20,946    234,143     44.3   5.99  Atmospheric drag building
   1:40    20,814    232,857     44.1   5.99  Atmospheric drag building
   1:41    20,683    231,571     43.9   5.99  Atmospheric drag building
   1:42    20,551    230,286     43.6   5.99  Atmospheric drag building
   1:43    20,420    229,000     43.4   5.99  Atmospheric drag building
   1:44    20,289    227,714     43.1   5.99  Atmospheric drag building
